method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,000/00000000,0.19357189536094666,,
Fine-tuned BasicVSR++,000/00000001,0.19176073372364044,0.00038634645170532167,0.18529872596263885
Fine-tuned BasicVSR++,000/00000002,0.19211429357528687,0.00039460649713873863,0.1859801560640335
Fine-tuned BasicVSR++,000/00000003,0.20267486572265625,0.00040758229442872107,0.1928921490907669
Fine-tuned BasicVSR++,000/00000004,0.20920799672603607,0.00041134870843961835,0.19908037781715393
Fine-tuned BasicVSR++,000/00000005,0.22524216771125793,0.00042075070086866617,0.21114502847194672
Fine-tuned BasicVSR++,000/00000006,0.21179935336112976,0.00040346255991607904,0.20876367390155792
Fine-tuned BasicVSR++,000/00000007,0.20933300256729126,0.0003912383981514722,0.2013184130191803
Fine-tuned BasicVSR++,000/00000008,0.20729012787342072,0.0004041465581394732,0.20391616225242615
Fine-tuned BasicVSR++,000/00000009,0.19687144458293915,0.0004037988546770066,0.19781304895877838
Fine-tuned BasicVSR++,000/00000010,0.1875917911529541,0.0004126068379264325,0.18754754960536957
Fine-tuned BasicVSR++,000/00000011,0.19399550557136536,0.0004177737282589078,0.1865895539522171
Fine-tuned BasicVSR++,000/00000012,0.20712777972221375,0.00042729289270937443,0.19633749127388
Fine-tuned BasicVSR++,000/00000013,0.2150442898273468,0.00043998833280056715,0.2048424929380417
Fine-tuned BasicVSR++,000/00000014,0.19515348970890045,0.00043482586625032127,0.19671563804149628
Fine-tuned BasicVSR++,000/00000015,0.19579283893108368,0.00040920349420048296,0.18319764733314514
Fine-tuned BasicVSR++,000/00000016,0.20185914635658264,0.00042131697409786284,0.19159291684627533
Fine-tuned BasicVSR++,000/00000017,0.2075216919183731,0.00044482090743258595,0.19940607249736786
Fine-tuned BasicVSR++,000/00000018,0.19885849952697754,0.00042764496174640954,0.1953187882900238
Fine-tuned BasicVSR++,000/00000019,0.20439353585243225,0.0004315050027798861,0.19465553760528564
Fine-tuned BasicVSR++,000/00000020,0.2226145714521408,0.0004326503840275109,0.20919594168663025
Fine-tuned BasicVSR++,000/00000021,0.23187780380249023,0.00044696463737636805,0.21836476027965546
Fine-tuned BasicVSR++,000/00000022,0.21450123190879822,0.0004489516722969711,0.21698696911334991
Fine-tuned BasicVSR++,000/00000023,0.21596062183380127,0.00044167740270495415,0.2125093638896942
Fine-tuned BasicVSR++,000/00000024,0.21082521975040436,0.0004549787554424256,0.20616371929645538
Fine-tuned BasicVSR++,000/00000025,0.2075587958097458,0.0004470381827559322,0.2017705887556076
